startupId,startupName,searchQuery,candidateRank,candidateTitle,candidateURL,candidateDomain,candidateSnippet,sourceType,searchStatus,needsManualReview
6a72ee3ce4b0b55585a934f8,NK ENGINEERING & CONSTRUCTION COMPANY,"""NK ENGINEERING & CONSTRUCTION COMPANY"" Nagpur company website",,,,,,,SUCCESS,YES
6a6f841ce4b01a12d3b109fe,SANYAM GLOBAL (OPC) PRIVATE LIMITED,"""SANYAM GLOBAL (OPC) PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a6c5386e4b01a12d3b051cc,ASTRAKIT TRADING AND MANPOWER SERVICES LLP,"""ASTRAKIT TRADING AND MANPOWER SERVICES LLP"" Nagpur company website",,,,,,,SUCCESS,YES
6a6b4c0de4b01a12d3b01328,COFFEE PROJECT PRIVATE LIMITED,"""COFFEE PROJECT PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,"""IR ENTERPRISES"" Nagpur company website",,,,,,,SUCCESS,YES
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,"""MEENADEEP EXPERIENCES PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,"""SHIVAKHYA INFRA PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a4f3e36e4b061f5fedeca61,UNIVERSAL REALTY FARM &amp; RESORT (OPC) PRIVATE LIMITED,"""UNIVERSAL REALTY FARM &amp; RESORT (OPC) PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a4bd358e4b0359e44e42daf,DEVDATTA PRODUCTION PRIVATE LIMITED,"""DEVDATTA PRODUCTION PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a4b6749e4b0359e44e3f22d,METAFORZE PRIVATE LIMITED,"""METAFORZE PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a48bdfae4b0359e44e363b7,VIDARBHA SALES & ENGINEERING,"""VIDARBHA SALES & ENGINEERING"" Nagpur company website",,,,,,,SUCCESS,YES
6a4792f3e4b0359e44e30532,PUNAM CONSTRUCTION INFRA LLP,"""PUNAM CONSTRUCTION INFRA LLP"" Nagpur company website",,,,,,,SUCCESS,YES
6a467727e4b0359e44e2b7f4,DEEPVRUKSHA SECURITY SERVICES PRIVATE LIMITED,"""DEEPVRUKSHA SECURITY SERVICES PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a450b8be4b0359e44e23a77,MINDFULNESS NETWORK PRIVATE LIMITED,"""MINDFULNESS NETWORK PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a4381a0e4b0359e44e1abab,NEOPADAU SOLUTION PRIVATE LIMITED,"""NEOPADAU SOLUTION PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a424457e4b0359e44e13dca,MAVELII'S SOCIAL DEVELOPMENT FOUNDATION,"""MAVELII'S SOCIAL DEVELOPMENT FOUNDATION"" Nagpur company website",,,,,,,SUCCESS,YES
6a4217f3e4b0359e44e11f93,KRISHIAI PRIVATE LIMITED,"""KRISHIAI PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a3e6e2ee4b0359e44e049be,JAYSHREE GROUP OF INDUSTRIES PRIVATE LIMITED,"""JAYSHREE GROUP OF INDUSTRIES PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a393dbde4b0359e44de8219,OMEVEDIC TECHNOLOGIES LLP,"""OMEVEDIC TECHNOLOGIES LLP"" Nagpur company website",,,,,,,SUCCESS,YES
6a3532a3e4b06921f1d6d261,WEDTRIX GLOBAL PRIVATE LIMITED,"""WEDTRIX GLOBAL PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a329a0be4b06921f1d5f6b4,NEXBRIDGE VENTURES PRIVATE LIMITED,"""NEXBRIDGE VENTURES PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a2fed05e4b06921f1d4e9b6,UPDON VENTURES PRIVATE LIMITED,"""UPDON VENTURES PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a2fd617e4b06921f1d4da9f,YOUFINITY WELLBEING PRIVATE LIMITED,"""YOUFINITY WELLBEING PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a2d57dae4b06921f1d436f7,SHREEKIRTI MEDITECH CONSULTANCY PRIVATE LIMITED,"""SHREEKIRTI MEDITECH CONSULTANCY PRIVATE LIMITED"" Nagpur company website",,,,,,,SUCCESS,YES
6a2a91a3e4b06921f1d3495b,GN GLOBAL CONSULTING LLP,"""GN GLOBAL CONSULTING LLP"" Nagpur company website",,,,,,,SUCCESS,YES
