startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus,diagnostic_website_status,diagnostic_action
6a72ee3ce4b0b55585a934f8,NK ENGINEERING & CONSTRUCTION COMPANY,DIPP276542,RECOGNISED,NG000011011,EarlyTraction,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK,No website in master,Web-search for official website and public contacts
6a6f841ce4b01a12d3b109fe,SANYAM GLOBAL (OPC) PRIVATE LIMITED,DIPP275282,RECOGNISED,U10795ME2026OPC474237,Validation,Nagpur,Maharashtra,Logistics,Others,,,,,OK,No website in master,Web-search for official website and public contacts
6a6c5386e4b01a12d3b051cc,ASTRAKIT TRADING AND MANPOWER SERVICES LLP,DIPP276635,RECOGNISED,ACR-6342,Prototype,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK,No website in master,Web-search for official website and public contacts
6a6b4c0de4b01a12d3b01328,COFFEE PROJECT PRIVATE LIMITED,DIPP275094,RECOGNISED,U56102MH2025PTC448359,Scaling,Nagpur,Maharashtra,Food & Beverages,Restaurants,,,,,OK,No website in master,Web-search for official website and public contacts
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,DIPP276527,RECOGNISED,UDYAM-MH-20-0356949,Scaling,Nagpur,Maharashtra,Events,Event Management,,,,,OK,No website in master,Web-search for official website and public contacts
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,DIPP271731,RECOGNISED,U52291ME2026PTC475400,Prototype,Nagpur,Maharashtra,Travel & Tourism,Experiential Travel,,,,,OK,No website in master,Web-search for official website and public contacts
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,DIPP271479,RECOGNISED,U42101ME2026PTC474775,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK,No website in master,Web-search for official website and public contacts
6a4f3e36e4b061f5fedeca61,UNIVERSAL REALTY FARM &amp; RESORT (OPC) PRIVATE LIMITED,DIPP271467,RECOGNISED,U68200MH2025OPC462562,Validation,Nagpur,Maharashtra,Real Estate,Others,,,,,OK,No website in master,Web-search for official website and public contacts
6a4bd358e4b0359e44e42daf,DEVDATTA PRODUCTION PRIVATE LIMITED,DIPP270899,RECOGNISED,U90009MH2023PTC416212,EarlyTraction,Nagpur,Maharashtra,Art & Photography,Art,,,,,OK,No website in master,Web-search for official website and public contacts
6a4b6749e4b0359e44e3f22d,METAFORZE PRIVATE LIMITED,DIPP270706,RECOGNISED,U46699ME2026PTC474475,EarlyTraction,Nagpur,Maharashtra,Green Technology,Clean Tech,,,,,OK,No website in master,Web-search for official website and public contacts
6a48bdfae4b0359e44e363b7,VIDARBHA SALES & ENGINEERING,DIPP270848,RECOGNISED,O1-0726-9491UT,EarlyTraction,Nagpur,Maharashtra,Automotive,Others,,,,,OK,No website in master,Web-search for official website and public contacts
6a4792f3e4b0359e44e30532,PUNAM CONSTRUCTION INFRA LLP,DIPP270351,RECOGNISED,ACW-3518,Prototype,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK,No website in master,Web-search for official website and public contacts
6a467727e4b0359e44e2b7f4,DEEPVRUKSHA SECURITY SERVICES PRIVATE LIMITED,DIPP271020,RECOGNISED,U80200MH2025PTC439260,Scaling,Nagpur,Maharashtra,Human Resources,Others,,,,,OK,No website in master,Web-search for official website and public contacts
6a450b8be4b0359e44e23a77,MINDFULNESS NETWORK PRIVATE LIMITED,DIPP270050,RECOGNISED,U59113ME2026PTC474215,Prototype,Nagpur,Maharashtra,Media & Entertainment,Entertainment,,,,,OK,No website in master,Web-search for official website and public contacts
6a4381a0e4b0359e44e1abab,NEOPADAU SOLUTION PRIVATE LIMITED,DIPP269776,RECOGNISED,U47912MH2025PTC461252,Validation,Nagpur,Maharashtra,Other Specialty Retailers,Others,,,,,OK,No website in master,Web-search for official website and public contacts
6a424457e4b0359e44e13dca,MAVELII'S SOCIAL DEVELOPMENT FOUNDATION,DIPP269611,RECOGNISED,U88900ME2026NPL473992,Prototype,Nagpur,Maharashtra,Agriculture,Organic Agriculture,,,,,OK,No website in master,Web-search for official website and public contacts
6a4217f3e4b0359e44e11f93,KRISHIAI PRIVATE LIMITED,DIPP269550,RECOGNISED,U58200MH2026PTC468064,Scaling,Nagpur,Maharashtra,Agriculture,Agri-Tech,,,,,OK,No website in master,Web-search for official website and public contacts
6a3e6e2ee4b0359e44e049be,JAYSHREE GROUP OF INDUSTRIES PRIVATE LIMITED,DIPP269281,RECOGNISED,U11043MH2025PTC460333,Prototype,Nagpur,Maharashtra,Food & Beverages,Others,,,,,OK,No website in master,Web-search for official website and public contacts
6a393dbde4b0359e44de8219,OMEVEDIC TECHNOLOGIES LLP,DIPP268450,RECOGNISED,ACZ-0841,Prototype,Nagpur,Maharashtra,IT Services,Others,,,,,OK,No website in master,Web-search for official website and public contacts
