startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus
6a75ab33e4b0b55585aa9b4f,SIDDHSAANVI FOODS AND BEVERAGES PRIVATE LIMITED,DIPP276074,RECOGNISED,U15100MH2019PTC325768,Validation,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://yordey.in,,,,OK
6a72ee3ce4b0b55585a934f8,NK ENGINEERING & CONSTRUCTION COMPANY,DIPP276542,RECOGNISED,NG000011011,EarlyTraction,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK
6a7258ffe4b0b55585a9110a,QUASARUS (OPC) PRIVATE LIMITED,DIPP276735,RECOGNISED,U72100ME2026OPC475693,Validation,Nagpur,Maharashtra,Renewable Energy,Others,https://quasarus.in,,,,OK
6a6f841ce4b01a12d3b109fe,SANYAM GLOBAL (OPC) PRIVATE LIMITED,DIPP275282,RECOGNISED,U10795ME2026OPC474237,Validation,Nagpur,Maharashtra,Logistics,Others,,,,,OK
6a6c5386e4b01a12d3b051cc,ASTRAKIT TRADING AND MANPOWER SERVICES LLP,DIPP276635,RECOGNISED,ACR-6342,Prototype,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK
6a6b4c0de4b01a12d3b01328,COFFEE PROJECT PRIVATE LIMITED,DIPP275094,RECOGNISED,U56102MH2025PTC448359,Scaling,Nagpur,Maharashtra,Food & Beverages,Restaurants,,,,,OK
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,DIPP276527,RECOGNISED,UDYAM-MH-20-0356949,Scaling,Nagpur,Maharashtra,Events,Event Management,,,,,OK
6a5c7f56e4b01a12d3aaba6c,SAVENTIN ULTRASTRUCTURE PRIVATE LIMITED,DIPP273051,RECOGNISED,U45309MH2022PTC396271,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,https://www.saventin.in,,,,OK
6a5b445fe4b01a12d3aa5c47,WIPSLY TECHNOLOGIES PRIVATE LIMITED,DIPP272951,RECOGNISED,U58202MH2025PTC464040,EarlyTraction,Nagpur,Maharashtra,IT Services,Product Development,www.wipsley.com,,,,OK
6a58d27be4b01a12d3a9b735,AVIONEXT AVIATION PRIVATE LIMITED,DIPP272666,RECOGNISED,U52231ME2026PTC473510,EarlyTraction,Nagpur,Maharashtra,Education,Skill Development,https://avionextaviation.com/,,,,OK
6a57305fe4b01a12d3a926aa,VELOURA GLOBAL EXPORTS PRIVATE LIMITED,DIPP272325,RECOGNISED,U46209MH2025PTC455828,EarlyTraction,Nagpur,Maharashtra,Agriculture,Organic Agriculture,www.rootans.in,,,,OK
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,DIPP271731,RECOGNISED,U52291ME2026PTC475400,Prototype,Nagpur,Maharashtra,Travel & Tourism,Experiential Travel,,,,,OK
6a4ff0cce4b061f5fedf1788,DEVADROS AUTOMATA PRIVATE LIMITED,DIPP273947,RECOGNISED,U72100PN2026PTC250873,Prototype,Nagpur,Maharashtra,Robotics,Robotics Technology,https://www.devadros.com/,,,,OK
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,DIPP271479,RECOGNISED,U42101ME2026PTC474775,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK
6a4f3e36e4b061f5fedeca61,UNIVERSAL REALTY FARM &amp; RESORT (OPC) PRIVATE LIMITED,DIPP271467,RECOGNISED,U68200MH2025OPC462562,Validation,Nagpur,Maharashtra,Real Estate,Others,,,,,OK
6a4d1e34e4b061f5fede5b42,VCF CYBER SOLUTIONS PRIVATE LIMITED,DIPP271273,RECOGNISED,U62099MH2023PTC404807,EarlyTraction,Nagpur,Maharashtra,IT Services,IT Consulting,https://vigilantecyberforces.com,,,,OK
6a4bd358e4b0359e44e42daf,DEVDATTA PRODUCTION PRIVATE LIMITED,DIPP270899,RECOGNISED,U90009MH2023PTC416212,EarlyTraction,Nagpur,Maharashtra,Art & Photography,Art,,,,,OK
6a4b6749e4b0359e44e3f22d,METAFORZE PRIVATE LIMITED,DIPP270706,RECOGNISED,U46699ME2026PTC474475,EarlyTraction,Nagpur,Maharashtra,Green Technology,Clean Tech,,,,,OK
